dataset,model,train_time_s,latency_ms,peak_memory_mb
cells,VGG16Micro,112.26,0.065,274.79
cells,AlexNetMicro,35.36,0.0166,71.96
cells,ResNet18Micro,192.36,0.0769,217.12
chest,VGG16Micro,29.67,0.0656,275.77
chest,AlexNetMicro,6.06,0.0165,66.16
chest,ResNet18Micro,48.25,0.0702,212.48
lesions,VGG16Micro,133.48,0.0659,275.79
lesions,AlexNetMicro,41.91,0.0169,71.96
lesions,ResNet18Micro,225.39,0.0734,217.12
orgs,VGG16Micro,82.56,0.0679,275.8
orgs,AlexNetMicro,23.23,0.0159,66.17
orgs,ResNet18Micro,141.55,0.078,212.5
cells,VGG16,490.96,0.3489,895.77
cells,AlexNet,81.65,0.0523,182.56
cells,ResNet18,683.5,0.8083,2460.85
chest,VGG16,112.74,0.3724,896.26
chest,AlexNet,28.88,0.0535,180.39
chest,ResNet18,542.97,0.8178,2456.52
lesions,VGG16,580.32,0.3592,899.01
lesions,AlexNet,75.34,0.0507,179.23
lesions,ResNet18,1721.4,0.8051,2459.21
orgs,VGG16,366.45,0.3406,900.41
orgs,AlexNet,56.02,0.0526,180.16
orgs,ResNet18,1096.64,0.816,2457.23

